5.247170298467410676e-01,6.392527420705327046e+01
1.178188960969985377e+00,1.817867459765738261e+02
2.693484671872786063e+00,1.064894315287889867e+03
3.786102994541368894e+00,2.507417982799663605e+03
4.729184784602836977e+00,4.500015035983880807e+03
5.669188015771548628e+00,7.332414176414812573e+03
6.791853842776382599e+00,1.203240912820339872e+04
7.520015399355631125e+00,1.596025701073585333e+04
8.579398192108589782e+00,2.307572688490886867e+04
9.255016553454936457e+00,2.856687933712281665e+04
1.039860916768829036e+01,3.973469051508335542e+04
1.126235585936239580e+01,4.987016573816048913e+04
1.290388122578085017e+01,7.361315719865553547e+04
1.392209499058811240e+01,9.157921710097460891e+04
1.493252414510500614e+01,1.120837499834777118e+05
1.541016812140105507e+01,1.227584125321727479e+05
1.698602804465751603e+01,1.627423970474024245e+05
1.751981464273868383e+01,1.780319610658976017e+05
1.811115264215978371e+01,1.960554313911174540e+05
1.970217811937009245e+01,2.504963539829153742e+05
